City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
Appleton, Wisconsin	3,057	74,370	24
Rapid City, South Dakota	1,336	74,048	55
New Braunfels, Texas	1,686	73,959	44
Albany, Georgia	1,339	73,801	55
Temple, Texas	1,067	73,600	69
Flower Mound, Texas	1,777	73,547	41
Rochester Hills, Michigan	2,237	73,422	33
Southfield, Michigan	2,783	73,100	26
Rock Hill, South Carolina	2,042	72,937	36
Turlock, California	4,300	72,796	17
Decatur, Illinois	1,722	72,706	42
New Britain, Connecticut	5,419	72,558	13
Apple Valley, California	991	72,553	73
Bismarck, North Dakota	2,348	72,417	31
Missoula, Montana	2,630	72,364	28
Waukesha, Wisconsin	2,917	72,363	25
Rancho Cordova, California	2,158	72,326	34
Gulfport, Mississippi	1,297	72,076	56
Lafayette, Indiana	2,588	71,782	28
Lauderhill, Florida	8,397	71,626	9
Flagstaff, Arizona	1,119	71,459	64
Wilmington, Delaware	6,554	71,442	11
Pawtucket, Rhode Island	8,229	71,427	9
Canton, Ohio	2,801	71,323	25
Redlands, California	1,973	71,288	36
Lynwood, California	14,708	71,187	5
Pittsburg, California	4,104	70,679	17
Passaic, New Jersey	22,424	70,635	3
Pasco, Washington	2,314	70,579	31
Frederick, Maryland	3,186	70,060	22
Weston, Florida	2,783	70,015	25
North Richland Hills, Texas	3,841	69,798	18
Maple Grove, Minnesota	2,132	69,576	33
Kissimmee, Florida	3,274	69,369	21
Union City, New Jersey	54,138	69,296	1
St. Charles, Missouri	2,930	69,293	24
Walnut Creek, California	3,498	69,122	20
South Jordan, Utah	3,131	69,034	22
Muncie, Indiana	2,537	69,010	27
Cedar Park, Texas	3,016	68,918	23
Woodbury, Minnesota	1,982	68,820	35
Palatine, Illinois	5,049	68,766	14
Bossier City, Louisiana	1,618	68,485	42
Dothan, Alabama	766	68,468	89
Mount Vernon, New York	15,568	68,344	4
Eau Claire, Wisconsin	2,133	68,339	32
Yorba Linda, California	3,503	68,235	19
Davis, California	6,887	68,111	10
Homestead, Florida	4,491	67,996	15
Waterloo, Iowa	1,107	67,934	61
Redondo Beach, California	10,946	67,867	6
Jacksonville, North Carolina	1,457	67,784	47
Gaithersburg, Maryland	6,645	67,776	10
Victoria, Texas	1,907	67,670	35
St. Cloud, Minnesota	1,689	67,641	40
Marysville, Washington	3,270	67,626	21
Greenville, South Carolina	2,353	67,453	29
Delray Beach, Florida	4,261	67,371	16
Camarillo, California	3,449	67,363	20
Georgetown, Texas	1,403	67,140	48
Kenner, Louisiana	4,512	67,089	15
Palo Alto, California	2,807	67,024	24
Jackson, Tennessee	1,247	67,005	54
South San Francisco, California	7,328	66,980	9
Rockville, Maryland	4,955	66,940	14
Portland, Maine	3,141	66,937	21
Yuba City, California	4,585	66,845	15
Johnson City, Tennessee	1,553	66,677	43
Daytona Beach, Florida	1,141	66,645	58
Oshkosh, Wisconsin	2,602	66,579	26
Broomfield, Colorado	2,014	66,529	33
Eagan, Minnesota	2,135	66,428	31
North Little Rock, Arkansas	1,287	66,278	52
Bayonne, New Jersey	11,420	66,238	6
Ames, Iowa	2,734	66,191	24
Mansfield, Texas	1,804	65,631	36
Harlingen, Texas	1,646	65,539	40
Alpharetta, Georgia	2,428	65,338	27
Laguna Niguel, California	4,405	65,328	15
San Clemente, California	3,491	65,309	19
Conway, Arkansas	1,440	65,300	45
Bowling Green, Kentucky	1,727	65,234	38
